City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,East London,12,ZA,1621375736,34,-33.0153,27.9116,66.07,6.87
1,Eureka,90,US,1621375802,70,40.8021,-124.1637,65.68,10.0
2,Poum,99,NC,1621375802,72,-20.2333,164.0167,75.36,10.94
3,Rikitea,67,PF,1621375803,68,-23.1203,-134.9692,74.57,18.05
4,Rome,75,US,1621375597,33,43.2128,-75.4557,78.66,13.8
5,Busselton,11,AU,1621375804,85,-33.65,115.3333,52.05,3.15
6,Ponta do Sol,0,PT,1621375804,69,32.6667,-17.1,68.72,5.61
7,Cabra,38,ES,1621375805,39,37.4725,-4.4421,74.66,3.0
8,Coyhaique,96,CL,1621375805,93,-45.5752,-72.0662,43.41,2.19
9,Quelimane,0,MZ,1621375806,85,-17.8786,36.8883,68.9,3.91
10,Chui,4,UY,1621375806,77,-33.6971,-53.4616,52.5,5.61
11,Yellowknife,60,CA,1621375806,40,62.456,-114.3525,38.32,1.99
12,Hermanus,38,ZA,1621375807,71,-34.4187,19.2345,60.91,3.02
13,Kapaa,1,US,1621375807,79,22.0752,-159.319,84.18,4.0
14,Te Anau,100,NZ,1621375808,93,-45.4167,167.7167,47.34,4.9
15,Cidreira,0,BR,1621375808,73,-30.1811,-50.2056,56.7,8.03
16,Christchurch,40,NZ,1621375806,88,-43.5333,172.6333,54.82,1.99
17,Jamestown,1,US,1621375808,35,42.097,-79.2353,79.92,9.22
18,Rudnichnyy,63,RU,1621375809,78,59.617,52.4703,51.91,5.12
19,Faya,84,SA,1621375809,26,18.3851,42.4509,68.52,3.47
20,Miracema do Tocantins,100,BR,1621375810,64,-9.5618,-48.3967,78.04,3.31
21,Vaini,88,TO,1621375810,78,-21.2,-175.2,77.58,16.67
22,Yagodnoye,100,RU,1621375810,97,62.55,149.6667,35.89,3.24
23,Cape Town,37,ZA,1621375789,66,-33.9258,18.4232,61.12,5.17
24,Leningradskiy,97,RU,1621375811,93,69.3833,178.4167,32.88,8.37
25,New Norfolk,100,AU,1621375811,72,-42.7826,147.0587,56.7,1.99
26,Baykit,52,RU,1621375811,77,61.67,96.37,27.27,2.68
27,Hilo,40,US,1621375812,69,19.7297,-155.09,80.33,12.66
28,Härnösand,100,SE,1621375812,81,62.6323,17.9379,39.2,3.62
29,Ilulissat,23,GL,1621375812,56,69.2167,-51.1,42.82,4.61
30,Mataura,100,NZ,1621375813,97,-46.1927,168.8643,50.49,7.65
31,Smithers,100,CA,1621375813,96,54.7804,-127.1743,42.87,2.84
32,Shar,94,KZ,1621375813,69,49.5886,81.0453,60.58,7.52
33,Port Lincoln,100,AU,1621375814,40,-34.7333,135.8667,58.37,14.32
34,Guerrero Negro,21,MX,1621375763,65,27.9769,-114.0611,66.97,24.63
35,Argayash,37,RU,1621375814,81,55.4888,60.8767,55.09,7.94
36,Somerset,1,US,1621375595,34,40.5668,-74.5496,82.26,1.99
37,Okitipupa,12,NG,1621375815,92,6.5047,4.7839,76.3,1.79
38,Mahébourg,21,MU,1621375815,77,-20.4081,57.7,72.25,5.17
39,Ushuaia,90,AR,1621375815,81,-54.8,-68.3,47.86,1.14
40,Kendallville,75,US,1621375565,56,41.4414,-85.265,77.02,9.22
